AAPL,META,MSFT
15.961039543151855,38.05066680908203,23.350187301635746
17.012514114379883,32.875057220458984,23.19063949584961
17.385976791381836,29.46114730834961,23.286365509033203
17.197288513183594,26.684236526489254,23.414011001586918
17.338729858398438,27.271469116210938,23.36614227294922
17.628225326538086,31.262657165527344,23.804908752441406
17.51748275756836,32.89496612548828,24.490970611572266
17.124757766723633,31.212892532348636,23.860750198364254
18.35528945922852,31.322376251220703,24.490970611572266
18.189472198486328,30.824722290039062,23.374122619628903
18.265012741088867,27.958232879638672,23.661312103271484
18.17142105102539,28.615135192871094,23.3581657409668
17.60957145690918,23.598777770996094,23.741090774536133
18.29059600830078,19.945993423461918,23.286365509033203
18.6538143157959,20.622804641723636,24.195804595947266
19.09144401550293,20.284399032592773,24.195491790771484
20.10270118713379,19.916135787963867,24.68533706665039
20.04437065124512,19.31894874572754,24.540794372558597
20.064008712768555,19.00044822692871,24.34806632995605
20.43878173828125,18.87105941772461,25.17519187927246
20.24293327331543,20.83181953430176,24.71746826171875
21.21369743347168,21.767410278320312,25.03867721557617
20.877613067626957,20.69247817993164,24.71746826171875
20.16162872314453,21.558395385742188,23.89836311340332
20.152570724487305,21.847036361694336,24.11518096923828
19.37009048461914,19.54786872863769,23.271995544433597
19.638473510742188,19.388622283935547,23.68154525756836
19.162166595458984,19.2293701171875,22.485017776489254
18.254573822021484,21.83708000183105,22.65365982055664
17.66885757446289,21.150320053100582,23.793968200683597
16.609203338623047,19.11988639831543,23.15154457092285
15.95826816558838,22.06600379943848,21.58487701416016
17.053686141967773,24.205915451049805,21.81967163085937
17.698551177978516,26.23634910583496,22.1516170501709
17.48328971862793,27.331188201904297,21.350082397460938
16.085786819458008,27.70940589904785,21.811580657958984
15.477653503417969,26.684236526489254,21.706321716308597
15.840161323547363,27.231658935546875,22.410701751708984
15.637659072875977,25.92780113220215,21.827770233154297
16.4586124420166,27.639732360839844,22.062562942504883
15.699594497680664,30.446502685546875,21.61726188659668
14.752937316894531,29.958803176879883,22.030168533325195
15.32524585723877,30.58584976196289,21.981595993041992
13.657221794128418,32.31768798828125,22.59692001342773
13.772286415100098,29.590538024902344,22.61311149597168
14.298405647277832,28.51560401916504,22.08684539794922
14.261456489562988,27.779077529907227,22.694072723388672
13.706889152526855,28.32649803161621,22.751354217529297
13.710551261901855,27.26151466369629,22.34318351745605
12.827399253845217,27.589967727661133,22.97991752624512
13.1837739944458,27.828842163085938,22.85747337341309
13.20759391784668,26.913158416748047,22.971763610839844
13.805522918701172,25.738693237304688,23.11870002746582
14.082196235656738,25.09174156188965,22.98809051513672
13.124836921691896,25.300756454467773,23.51054954528809
13.015510559082031,26.724048614501957,23.33910751342773
13.125144958496094,27.271469116210938,23.50238609313965
11.97234058380127,25.56949234008789,23.50238609313965
12.381847381591797,25.987520217895508,25.926910400390625
13.52152156829834,27.639732360839844,27.02080535888672
14.069066047668455,27.440671920776367,27.551424026489254
13.924262046813965,26.554845809936523,26.68609619140625
13.358953475952148,26.00742530822754,28.01590347290039
13.567066192626951,25.041976928710938,28.45159149169922
13.677727699279783,23.21060943603516,28.67355155944824
13.811752319335938,23.409669876098636,28.763988494873047
