AAPL,AMZN,GOOG,META,MSFT
15.961039543151855,10.692500114440918,14.883453369140623,38.05066680908203,23.350187301635746
17.012514114379883,10.76200008392334,14.96426773071289,32.875057220458984,23.19063949584961
17.385976791381836,10.645500183105469,14.399072647094728,29.46114730834961,23.286365509033203
17.197288513183594,10.881999969482422,14.391883850097656,26.684236526489254,23.414011001586918
17.338729858398438,10.821000099182127,14.008394241333008,27.271469116210938,23.36614227294922
17.628225326538086,11.133000373840332,14.15093231201172,31.262657165527344,23.804908752441406
17.51748275756836,11.107999801635742,14.166550636291504,32.89496612548828,24.490970611572266
17.124757766723633,11.065500259399414,13.988810539245604,31.212892532348636,23.860750198364254
18.35528945922852,11.352999687194824,14.772397994995115,31.322376251220703,24.490970611572266
18.189472198486328,10.918499946594238,14.159360885620115,30.824722290039062,23.374122619628903
18.265012741088867,10.846500396728516,14.296693801879885,27.958232879638672,23.661312103271484
18.17142105102539,11.30049991607666,15.25801944732666,28.615135192871094,23.3581657409668
17.60957145690918,11.866000175476074,15.740171432495115,23.598777770996094,23.741090774536133
18.29059600830078,11.540499687194824,15.58622932434082,19.945993423461918,23.286365509033203
18.6538143157959,11.718999862670898,15.920388221740724,20.622804641723636,24.195804595947266
19.09144401550293,11.659500122070312,16.5755672454834,20.284399032592773,24.195491790771484
20.10270118713379,12.017499923706056,16.746118545532227,19.916135787963867,24.68533706665039
20.04437065124512,12.286999702453612,16.822715759277344,19.31894874572754,24.540794372558597
20.064008712768555,12.310999870300291,16.8983211517334,19.00044822692871,24.34806632995605
20.43878173828125,12.569000244140623,17.337587356567383,18.87105941772461,25.17519187927246
20.24293327331543,12.781499862670898,17.126384735107422,20.83181953430176,24.71746826171875
21.21369743347168,12.9375,17.805606842041016,21.767410278320312,25.03867721557617
20.877613067626957,12.739999771118164,18.57655334472656,20.69247817993164,24.71746826171875
20.16162872314453,12.715999603271484,18.70347595214844,21.558395385742188,23.89836311340332
20.152570724487305,13.023500442504885,19.039369583129883,21.847036361694336,24.11518096923828
19.37009048461914,12.249500274658203,18.45707130432129,19.54786872863769,23.271995544433597
19.638473510742188,12.196999549865724,18.46054077148437,19.388622283935547,23.68154525756836
19.162166595458984,11.689000129699709,16.823707580566406,19.2293701171875,22.485017776489254
18.254573822021484,11.911999702453612,16.7364501953125,21.83708000183105,22.65365982055664
17.66885757446289,11.716500282287598,16.930051803588867,21.150320053100582,23.793968200683597
16.609203338623047,11.315500259399414,16.436002731323242,19.11988639831543,23.15154457092285
15.95826816558838,11.029999732971191,16.04507827758789,22.06600379943848,21.58487701416016
17.053686141967773,11.90149974822998,16.506404876708984,24.205915451049805,21.81967163085937
17.698551177978516,12.35550022125244,16.94765281677246,26.23634910583496,22.1516170501709
17.48328971862793,12.624500274658203,17.130102157592773,27.331188201904297,21.350082397460938
16.085786819458008,12.388500213623049,16.991037368774414,27.70940589904785,21.811580657958984
15.477653503417969,12.459500312805176,17.40104866027832,26.684236526489254,21.706321716308597
15.840161323547363,13.074999809265137,17.906749725341797,27.231658935546875,22.410701751708984
15.637659072875977,12.415499687194824,17.50838279724121,25.92780113220215,21.827770233154297
16.4586124420166,12.923999786376951,17.93922233581543,27.639732360839844,22.062562942504883
15.699594497680664,13.317500114440918,18.29742813110352,30.446502685546875,21.61726188659668
14.752937316894531,13.595000267028809,17.970457077026367,29.958803176879883,22.030168533325195
15.32524585723877,13.509499549865724,17.42360496520996,30.58584976196289,21.981595993041992
13.657221794128418,13.802000045776367,18.61001968383789,32.31768798828125,22.59692001342773
13.772286415100098,13.25,19.22652816772461,29.590538024902344,22.61311149597168
14.298405647277832,13.011500358581545,19.185623168945312,28.51560401916504,22.08684539794922
14.261456489562988,13.47350025177002,19.406497955322266,27.779077529907227,22.694072723388672
13.706889152526855,13.320500373840332,19.644472122192383,28.32649803161621,22.751354217529297
13.710551261901855,12.968000411987305,19.586713790893555,27.26151466369629,22.34318351745605
12.827399253845217,13.655500411987305,20.36435317993164,27.589967727661133,22.97991752624512
13.1837739944458,13.709500312805176,20.612741470336918,27.828842163085938,22.85747337341309
13.20759391784668,13.286999702453612,20.365345001220703,26.913158416748047,22.971763610839844
13.805522918701172,12.86400032043457,20.19603538513184,25.738693237304688,23.11870002746582
14.082196235656738,13.01550006866455,20.13926696777344,25.09174156188965,22.98809051513672
13.124836921691896,13.166000366210938,20.15463638305664,25.300756454467773,23.51054954528809
13.015510559082031,12.947500228881836,19.207935333251957,26.724048614501957,23.33910751342773
13.125144958496094,13.643500328063965,19.58473014831543,27.271469116210938,23.50238609313965
11.97234058380127,12.970999717712402,18.98632049560547,25.56949234008789,23.50238609313965
12.381847381591797,13.439000129699709,20.1648006439209,25.987520217895508,25.926910400390625
13.52152156829834,12.690500259399414,20.44045639038086,27.639732360839844,27.02080535888672
14.069066047668455,12.78600025177002,21.357160568237305,27.440671920776367,27.551424026489254
13.924262046813965,13.181500434875488,21.82022476196289,26.554845809936523,26.68609619140625
13.358953475952148,13.206000328063965,22.40624046325684,26.00742530822754,28.01590347290039
13.567066192626951,13.14799976348877,22.048036575317383,25.041976928710938,28.45159149169922
13.677727699279783,13.27649974822998,21.524738311767575,23.21060943603516,28.67355155944824
13.811752319335938,13.28499984741211,21.29642868041992,23.409669876098636,28.763988494873047
13.491443634033203,14.053500175476074,22.067869186401367,24.21586799621582,29.15857315063477
13.219706535339355,13.69950008392334,21.69156646728516,23.519153594970703,28.278959274291992
12.813629150390623,13.67199993133545,21.932024002075195,23.787887573242188,27.53088760375977
12.236642837524414,13.878499984741213,21.65711212158203,24.046669006347656,28.23784828186035
12.864352226257324,14.18649959564209,21.871788024902344,24.295494079589844,27.900798797607425
12.98300552368164,14.576499938964844,22.44020271301269,25.3604793548584,28.23784828186035
13.13947296142578,15.328499794006348,22.922351837158203,26.156723022460938,29.734020233154297
13.0629301071167,15.261500358581545,22.22602653503418,25.75859832763672,25.81277847290039
13.479455947875977,15.170000076293944,22.005401611328125,34.19882583618164,25.80454444885254
13.910737991333008,15.060999870300291,22.006637573242188,36.62737274169922,26.17447662353516
14.301749229431152,15.037500381469728,22.22528076171875,38.3691635131836,25.96074104309082
14.461471557617188,14.834500312805176,21.95110893249512,38.040714263916016,27.02120780944824
15.54354190826416,14.241000175476074,21.24213981628418,36.906063079833984,26.325801849365234
15.563034057617188,14.486499786376951,21.658599853515625,38.3691635131836,26.814239501953125
15.189862251281738,14.07900047302246,21.03490447998047,40.35977935791016,27.335786819458008
15.430907249450684,14.682000160217283,21.607038497924805,41.584014892578125,25.82909202575684
15.305593490600586,15.017999649047852,22.02944564819336,43.39547348022461,26.814239501953125
13.92801570892334,14.803000450134276,22.00688743591309,42.31058883666992,27.153661727905277
14.463018417358398,15.81700038909912,22.387401580810547,47.26723098754883,27.1453800201416
